iso3,country,year,indicator,value
AFG,Afghanistan,1990,co2_per_capita_tons,0.168
AFG,Afghanistan,1991,co2_per_capita_tons,0.156
AFG,Afghanistan,1992,co2_per_capita_tons,0.112
AFG,Afghanistan,1993,co2_per_capita_tons,0.1
AFG,Afghanistan,1994,co2_per_capita_tons,0.089
AFG,Afghanistan,1995,co2_per_capita_tons,0.083
AFG,Afghanistan,1996,co2_per_capita_tons,0.077
AFG,Afghanistan,1997,co2_per_capita_tons,0.071
AFG,Afghanistan,1998,co2_per_capita_tons,0.067
AFG,Afghanistan,1999,co2_per_capita_tons,0.055
AFG,Afghanistan,2000,co2_per_capita_tons,0.052
AFG,Afghanistan,2001,co2_per_capita_tons,0.053
AFG,Afghanistan,2002,co2_per_capita_tons,0.063
AFG,Afghanistan,2003,co2_per_capita_tons,0.069
AFG,Afghanistan,2004,co2_per_capita_tons,0.053
AFG,Afghanistan,2005,co2_per_capita_tons,0.077
AFG,Afghanistan,2006,co2_per_capita_tons,0.085
AFG,Afghanistan,2007,co2_per_capita_tons,0.108
AFG,Afghanistan,2008,co2_per_capita_tons,0.161
AFG,Afghanistan,2009,co2_per_capita_tons,0.233
AFG,Afghanistan,2010,co2_per_capita_tons,0.296
AFG,Afghanistan,2011,co2_per_capita_tons,0.403
AFG,Afghanistan,2012,co2_per_capita_tons,0.328
AFG,Afghanistan,2013,co2_per_capita_tons,0.292
AFG,Afghanistan,2014,co2_per_capita_tons,0.277
AFG,Afghanistan,2015,co2_per_capita_tons,0.286
AFG,Afghanistan,2016,co2_per_capita_tons,0.257
AFG,Afghanistan,2017,co2_per_capita_tons,0.271
AFG,Afghanistan,2018,co2_per_capita_tons,0.289
AFG,Afghanistan,2019,co2_per_capita_tons,0.286
AFG,Afghanistan,2020,co2_per_capita_tons,0.297
AFG,Afghanistan,2021,co2_per_capita_tons,0.257
AFG,Afghanistan,2022,co2_per_capita_tons,0.26
AFG,Afghanistan,2023,co2_per_capita_tons,0.266
ALB,Albania,1990,co2_per_capita_tons,1.684
ALB,Albania,1991,co2_per_capita_tons,1.307
ALB,Albania,1992,co2_per_capita_tons,0.767
ALB,Albania,1993,co2_per_capita_tons,0.713
ALB,Albania,1994,co2_per_capita_tons,0.588
ALB,Albania,1995,co2_per_capita_tons,0.641
ALB,Albania,1996,co2_per_capita_tons,0.622
ALB,Albania,1997,co2_per_capita_tons,0.478
ALB,Albania,1998,co2_per_capita_tons,0.547
ALB,Albania,1999,co2_per_capita_tons,0.937
ALB,Albania,2000,co2_per_capita_tons,0.955
ALB,Albania,2001,co2_per_capita_tons,1.023
ALB,Albania,2002,co2_per_capita_tons,1.196
ALB,Albania,2003,co2_per_capita_tons,1.38
ALB,Albania,2004,co2_per_capita_tons,1.348
ALB,Albania,2005,co2_per_capita_tons,1.385
ALB,Albania,2006,co2_per_capita_tons,1.282
ALB,Albania,2007,co2_per_capita_tons,1.306
ALB,Albania,2008,co2_per_capita_tons,1.469
ALB,Albania,2009,co2_per_capita_tons,1.488
ALB,Albania,2010,co2_per_capita_tons,1.633
ALB,Albania,2011,co2_per_capita_tons,1.825
ALB,Albania,2012,co2_per_capita_tons,1.667
ALB,Albania,2013,co2_per_capita_tons,1.819
ALB,Albania,2014,co2_per_capita_tons,2.066
ALB,Albania,2015,co2_per_capita_tons,1.626
ALB,Albania,2016,co2_per_capita_tons,1.598
ALB,Albania,2017,co2_per_capita_tons,1.826
ALB,Albania,2018,co2_per_capita_tons,1.691
ALB,Albania,2019,co2_per_capita_tons,1.673
ALB,Albania,2020,co2_per_capita_tons,1.64
ALB,Albania,2021,co2_per_capita_tons,1.802
ALB,Albania,2022,co2_per_capita_tons,1.83
ALB,Albania,2023,co2_per_capita_tons,1.83
DZA,Algeria,1990,co2_per_capita_tons,3.024
DZA,Algeria,1991,co2_per_capita_tons,3.032
DZA,Algeria,1992,co2_per_capita_tons,3.0
DZA,Algeria,1993,co2_per_capita_tons,3.004
DZA,Algeria,1994,co2_per_capita_tons,3.177
DZA,Algeria,1995,co2_per_capita_tons,3.399
DZA,Algeria,1996,co2_per_capita_tons,3.446
DZA,Algeria,1997,co2_per_capita_tons,2.988
DZA,Algeria,1998,co2_per_capita_tons,3.545
DZA,Algeria,1999,co2_per_capita_tons,3.001
DZA,Algeria,2000,co2_per_capita_tons,2.763
